fips,population,median_household_income,cluster_model4,color
23029,32191.0,38083.0,45,green
13191,14007.0,42988.0,34,green
13179,64427.0,42201.0,1,green
9003,896943.0,66395.0,26,red
9013,151948.0,79626.0,25,red
9015,117470.0,59392.0,23,orange
25019,10556.0,84057.0,12,red
24023,29813.0,45432.0,34,orange
50027,56150.0,52965.0,4,orange
33019,43135.0,56032.0,22,orange
33001,60399.0,62159.0,10,orange
33005,76430.0,57782.0,22,orange
33017,125273.0,60711.0,23,orange
36123,25187.0,49510.0,40,orange
36003,48070.0,42776.0,1,green
36007,198093.0,46261.0,32,orange
36009,78962.0,42601.0,1,green
36015,88267.0,50320.0,39,orange
36017,49549.0,45668.0,34,orange
36023,49043.0,49514.0,40,orange
36025,46901.0,43720.0,34,green
36037,59458.0,50880.0,40,orange
36041,4760.0,48243.0,11,orange
36049,27124.0,49819.0,40,orange
36051,64801.0,51734.0,4,orange
36053,72427.0,54145.0,4,orange
36057,49779.0,43764.0,34,green
36067,468304.0,55092.0,44,orange
36069,109192.0,57416.0,23,orange
36071,375384.0,70848.0,5,red
36077,61399.0,48588.0,39,orange
36079,99488.0,96148.0,47,red
36087,320688.0,84855.0,12,red
36095,31913.0,51195.0,40,orange
36097,18410.0,47680.0,11,orange
36099,35144.0,49292.0,40,orange
36101,98665.0,47280.0,39,orange
36105,76330.0,50710.0,40,orange
36107,50199.0,57514.0,22,orange
36109,103855.0,52624.0,41,orange
36121,41446.0,52564.0,4,orange
42001,101767.0,60356.0,46,orange
42003,1231145.0,53040.0,21,red
42005,67979.0,44942.0,34,green
42007,169785.0,50581.0,41,orange
42009,49086.0,45930.0,11,orange
42013,126448.0,43981.0,32,green
42015,62228.0,48987.0,39,orange
42019,185689.0,60934.0,23,orange
42021,139381.0,42107.0,32,green
42023,4869.0,39897.0,45,green
42031,39454.0,42536.0,1,green
42033,81343.0,42257.0,1,green
42037,66912.0,45374.0,34,orange
42039,87343.0,44579.0,32,green
42041,241427.0,61820.0,0,orange
42043,271094.0,53754.0,15,orange
42047,31370.0,46671.0,11,orange
42053,7581.0,35533.0,24,green
42055,152285.0,53916.0,41,orange
42057,14694.0,48311.0,11,orange
42059,37938.0,46661.0,11,orange
42061,45906.0,44396.0,34,green
42063,87895.0,45195.0,32,orange
42065,44756.0,42903.0,1,green
42067,24829.0,47398.0,11,orange
42069,213459.0,46271.0,20,orange
42071,530216.0,57721.0,44,orange
42073,89162.0,44571.0,32,green
42075,135776.0,55499.0,41,orange
42079,320095.0,45897.0,20,orange
42083,42884.0,43965.0,34,green
42085,115320.0,44156.0,32,green
42087,46675.0,41288.0,1,green
42093,18508.0,54648.0,22,orange
42099,45677.0,57177.0,22,orange
42103,56632.0,60180.0,46,orange
42105,17377.0,40654.0,1,green
42107,146360.0,45535.0,32,orange
42109,40046.0,49917.0,40,orange
42111,76617.0,44587.0,34,green
42113,6381.0,44189.0,34,green
42115,42369.0,50477.0,40,orange
42117,42284.0,46494.0,11,orange
42119,44958.0,49803.0,40,orange
42121,53906.0,43644.0,34,green
42123,40962.0,44020.0,34,green
42125,208226.0,56450.0,23,orange
42131,28147.0,51004.0,40,orange
42133,439660.0,58269.0,44,orange
44005,82663.0,69526.0,35,red
51141,18264.0,33982.0,8,green
51143,62794.0,41824.0,1,green
51155,34528.0,47495.0,11,orange
51161,93633.0,60519.0,46,orange
51163,22444.0,48901.0,40,orange
51167,28245.0,35045.0,24,green
51169,22570.0,37240.0,45,green
51173,31734.0,37983.0,45,green
51185,43870.0,37664.0,45,green
51191,54759.0,43310.0,34,green
51195,40530.0,37407.0,45,green
51197,29190.0,41360.0,1,green
51005,16066.0,45007.0,34,green
51035,29856.0,35000.0,24,green
51031,55012.0,47699.0,11,orange
51089,52580.0,35293.0,24,green
51121,96467.0,46663.0,39,orange
51083,35506.0,35240.0,24,green
51077,15573.0,29942.0,48,green
51071,16907.0,46390.0,11,orange
51067,56315.0,46870.0,11,orange
51063,15523.0,48005.0,11,orange
51051,15463.0,33624.0,8,green
51045,5212.0,44330.0,34,green
51037,12313.0,35079.0,24,green
51029,17068.0,40331.0,1,green
51027,23486.0,29679.0,48,green
51023,33155.0,60454.0,46,orange
51021,6662.0,45294.0,34,green
51019,76463.0,56316.0,22,orange
51017,4583.0,43646.0,34,green
51011,15208.0,48823.0,40,orange
51009,32148.0,47558.0,11,orange
51105,25206.0,31086.0,8,green
50015,25027.0,50939.0,40,orange
50017,28929.0,53869.0,4,orange
50003,36589.0,49573.0,40,orange
50019,27146.0,42831.0,1,green
50023,59132.0,58788.0,46,orange
50013,6952.0,62608.0,10,orange
54081,78493.0,41032.0,1,green
54079,56596.0,56774.0,22,orange
54077,33809.0,45064.0,34,green
54075,8697.0,36827.0,24,green
54073,7636.0,44288.0,34,green
54069,43637.0,40569.0,1,green
54067,25930.0,39171.0,45,green
54063,13525.0,36918.0,24,green
54061,101668.0,45467.0,32,orange
54059,25931.0,33221.0,8,green
54055,61891.0,36195.0,24,green
54053,27177.0,36448.0,24,green
54051,32480.0,45182.0,34,green
54049,56790.0,43165.0,34,green
54047,20802.0,24921.0,17,green
54045,35760.0,36763.0,24,green
54043,21560.0,35800.0,24,green
54039,190781.0,45882.0,32,orange
54035,29256.0,41314.0,1,green
54029,30201.0,39959.0,45,green
54025,35666.0,39746.0,45,green
54083,29365.0,39457.0,45,green
54021,8644.0,37536.0,45,green
54019,45534.0,36293.0,24,green
54015,9141.0,31325.0,8,green
54013,7557.0,35568.0,24,green
54011,96824.0,38344.0,45,green
54009,23665.0,46215.0,11,orange
54007,14466.0,32750.0,8,green
54005,24000.0,39958.0,45,green
54103,16157.0,39096.0,45,green
54105,5841.0,39352.0,45,green
54107,86559.0,41884.0,1,green
54109,22866.0,33730.0,8,green
54001,16731.0,37066.0,24,green
54091,16977.0,43970.0,34,green
54101,8927.0,29086.0,48,green
54099,41499.0,36318.0,24,green
54097,24560.0,40330.0,1,green
54095,9033.0,38854.0,45,green
54093,6972.0,40533.0,1,green
54089,13544.0,36651.0,24,green
54087,14636.0,31813.0,8,green
54085,10140.0,37636.0,45,green
42097,94006.0,42406.0,32,green
23001,107393.0,47537.0,39,orange
34017,662619.0,59741.0,44,red
36085,472481.0,73197.0,37,red
34013,791609.0,53976.0,6,orange
36085,472481.0,73197.0,37,red
34017,662619.0,59741.0,44,red
34003,926330.0,85806.0,19,red
36119,967315.0,83958.0,19,red
36005,1428357.0,34299.0,42,green
36061,1629507.0,72871.0,38,red
36005,1428357.0,34299.0,42,green
44001,49176.0,72458.0,35,red
25007,17048.0,64222.0,10,orange
36063,214150.0,49449.0,41,orange
36117,92416.0,50798.0,39,orange
36075,121183.0,47860.0,39,orange
36073,42204.0,46359.0,11,orange
36055,749356.0,52553.0,6,orange
23013,39723.0,50693.0,40,orange
23023,35092.0,53298.0,4,orange
23015,34156.0,50462.0,40,orange
33013,147262.0,65983.0,28,orange
34039,548744.0,69594.0,37,red
42051,134851.0,39636.0,43,green
42129,361251.0,52247.0,15,orange
25017,1556116.0,85118.0,27,red
9009,862224.0,61640.0,26,red
9005,186304.0,72061.0,5,red
25027,810935.0,65313.0,26,red
25003,129288.0,49956.0,39,orange
25011,71144.0,55221.0,22,orange
25015,160759.0,61368.0,23,orange
25021,687721.0,88262.0,7,red
23021,17156.0,37495.0,45,green
23025,51577.0,40066.0,1,green
23003,70005.0,36923.0,24,green
23017,57421.0,40630.0,1,green
23019,153437.0,44271.0,32,green
33003,47513.0,53306.0,4,orange
33011,403972.0,71244.0,5,red
34031,507574.0,59739.0,44,orange
36119,967315.0,83958.0,19,red
36115,62700.0,51143.0,40,orange
36113,65180.0,56798.0,22,orange
36035,54606.0,46969.0,11,orange
36031,38912.0,52758.0,4,orange
36019,81685.0,49930.0,39,orange
36033,51280.0,47923.0,11,orange
36011,79173.0,52082.0,4,orange
36065,233558.0,48246.0,20,orange
36043,64034.0,46229.0,11,orange
36093,154796.0,58114.0,23,orange
36001,307463.0,59887.0,0,orange
36039,48312.0,50278.0,40,orange
36111,181300.0,58918.0,23,orange
36027,296928.0,71904.0,5,red
36021,62195.0,59105.0,46,orange
36083,159900.0,60709.0,23,orange
36091,223774.0,71496.0,5,red
36089,112011.0,44705.0,32,green
42027,157823.0,52186.0,41,orange
42081,116656.0,47313.0,39,orange
42127,51642.0,49919.0,40,orange
42049,279858.0,45971.0,20,orange
42035,39614.0,45078.0,34,green
44007,630459.0,49743.0,30,orange
44009,126405.0,72807.0,35,red
50007,159711.0,65350.0,28,orange
50001,36943.0,59688.0,46,orange
50021,60530.0,49372.0,40,orange
50025,43858.0,51045.0,40,orange
50011,48418.0,58199.0,46,orange
25009,763849.0,69068.0,26,red
25023,503681.0,75459.0,37,red
25013,468041.0,50461.0,30,orange
44003,164958.0,64383.0,28,orange
33015,299006.0,81198.0,25,red
34039,548744.0,69594.0,37,red
23031,199682.0,57919.0,23,orange
23005,286119.0,60051.0,0,orange
23007,30402.0,42811.0,1,green
34003,926330.0,85806.0,19,red
9011,273185.0,66233.0,0,red
25025,758919.0,55044.0,6,red
23027,38976.0,44082.0,34,green
23009,54658.0,47030.0,11,orange
36059,1354612.0,99465.0,27,red
34013,791609.0,53976.0,6,orange
25001,214766.0,63251.0,0,orange
23011,121112.0,46917.0,39,orange
9007,165165.0,79893.0,25,red
9001,939983.0,84233.0,19,red
33007,31870.0,42312.0,1,green
50005,31012.0,45323.0,34,green
21151,85838.0,42390.0,1,green
21153,12979.0,28500.0,48,green
21155,19717.0,38826.0,45,green
21157,31181.0,45212.0,34,green
21159,12631.0,25795.0,48,green
21161,17296.0,38824.0,45,green
21163,29098.0,49884.0,40,orange
21165,6343.0,31503.0,8,green
21167,21342.0,42083.0,1,green
21169,9985.0,32294.0,8,green
21171,10765.0,31045.0,8,green
21173,27167.0,39275.0,45,green
21175,13428.0,29707.0,48,green
21177,31309.0,38961.0,45,green
21179,44564.0,49298.0,40,orange
21181,7075.0,36097.0,24,green
21183,24065.0,40189.0,1,green
21185,63037.0,85452.0,12,red
21187,10711.0,41934.0,1,green
21189,4616.0,20985.0,17,green
21191,14514.0,48353.0,11,orange
21193,28041.0,32667.0,8,green
21195,63434.0,33183.0,8,green
21197,12447.0,29736.0,48,green
21199,63635.0,34790.0,24,green
21201,2208.0,31741.0,8,green
21203,16942.0,31555.0,8,green
21205,23608.0,36860.0,24,green
21207,17669.0,30720.0,8,green
21209,50178.0,63027.0,10,orange
21211,44290.0,60324.0,46,orange
21213,17704.0,39679.0,45,green
21215,17577.0,63000.0,10,orange
21217,24993.0,33340.0,8,green
21219,12524.0,40497.0,1,green
21221,14250.0,44083.0,34,green
21223,8783.0,47409.0,11,orange
21225,15138.0,40120.0,1,green
21227,118950.0,44911.0,32,green
21229,11910.0,40976.0,1,green
21231,20655.0,28573.0,48,green
21233,13357.0,38917.0,45,green
21235,35794.0,31014.0,8,green
21237,7261.0,20504.0,17,green
21239,25317.0,58750.0,46,orange
21129,7119.0,22698.0,17,green
21075,6422.0,28359.0,48,green
21001,18852.0,33362.0,8,green
21003,20355.0,41326.0,1,green
21005,21761.0,53974.0,4,orange
21007,8256.0,42244.0,1,green
21009,42925.0,38370.0,45,green
21011,11978.0,33483.0,8,green
21013,27950.0,22443.0,17,green
21015,124617.0,66730.0,28,orange
21017,20013.0,45208.0,34,green
21019,48917.0,42319.0,1,green
21021,29388.0,39704.0,45,green
21023,8425.0,36327.0,24,green
21025,13591.0,25817.0,48,green
21027,20061.0,43479.0,34,green
21029,76961.0,55975.0,22,orange
21031,12835.0,33536.0,8,green
21033,12826.0,42537.0,1,green
21035,38106.0,37034.0,24,green
21037,91475.0,54621.0,22,orange
21039,4984.0,38829.0,45,green
21041,10830.0,41439.0,1,green
21043,27326.0,36696.0,24,green
21045,15954.0,32341.0,8,green
21047,74159.0,39521.0,45,green
21049,35657.0,47959.0,11,orange
21051,21300.0,21549.0,17,green
21107,46518.0,42346.0,1,green
21055,9222.0,35316.0,24,green
21057,6807.0,32019.0,8,green
21059,98173.0,45989.0,32,orange
21061,12105.0,41710.0,1,green
21063,7725.0,28224.0,48,green
21065,14476.0,29770.0,48,green
21067,308306.0,49778.0,15,orange
21069,14544.0,35469.0,24,green
21071,38649.0,30096.0,48,green
21073,49778.0,47964.0,11,orange
21077,8567.0,48370.0,11,orange
21079,16976.0,44243.0,34,green
21081,24670.0,44824.0,34,green
21083,37502.0,39530.0,45,green
21085,26001.0,35030.0,24,green
21087,11149.0,34982.0,24,green
21089,36477.0,45370.0,34,green
21091,8669.0,50476.0,40,orange
21093,107529.0,50765.0,39,orange
21095,28400.0,25814.0,48,green
21097,18648.0,35681.0,24,green
21105,4720.0,41218.0,1,green
21103,15455.0,46495.0,11,orange
21101,46396.0,41036.0,1,green
21099,18441.0,34774.0,24,green
21125,59751.0,36020.0,24,green
21053,10188.0,28025.0,48,green
26143,24068.0,35133.0,24,green
26145,196479.0,43042.0,32,green
26149,61022.0,44449.0,34,green
26155,69113.0,48233.0,39,orange
26161,354092.0,61003.0,0,orange
28005,12840.0,30704.0,8,green
28007,19175.0,32886.0,8,green
28009,8470.0,33141.0,8,green
28001,31979.0,28869.0,48,green
28161,12381.0,36502.0,24,green
28159,18697.0,33202.0,8,green
28157,9345.0,29931.0,48,green
28155,9999.0,34448.0,24,green
28153,20564.0,32557.0,8,green
28151,49499.0,29144.0,48,green
28149,48020.0,41121.0,1,green
28147,14978.0,31384.0,8,green
28145,27811.0,35865.0,24,green
28143,10477.0,31211.0,8,green
28141,19539.0,35143.0,24,green
28139,22054.0,35609.0,24,green
28137,28415.0,42880.0,34,green
28135,14959.0,29731.0,48,green
28133,27911.0,27384.0,48,green
28131,17978.0,45025.0,34,green
28129,16257.0,32951.0,8,green
28127,27401.0,35375.0,24,green
28125,4805.0,30525.0,8,green
28123,28293.0,32935.0,8,green
28121,146761.0,58801.0,23,orange
28119,7761.0,24583.0,17,green
28117,25380.0,32945.0,8,green
28115,30517.0,40645.0,1,green
28111,12187.0,34045.0,8,green
28107,34373.0,36555.0,24,green
28105,49048.0,32485.0,8,green
28103,11143.0,26677.0,48,green
28101,21663.0,37045.0,24,green
28099,29553.0,35645.0,24,green
28097,10464.0,30146.0,48,green
28095,36175.0,36783.0,24,green
28093,36385.0,37419.0,45,green
28091,26109.0,30668.0,8,green
19045,48365.0,50498.0,40,orange
19047,17252.0,48084.0,11,orange
19049,74892.0,76320.0,25,red
19051,8742.0,48888.0,40,orange
19053,8249.0,38560.0,45,green
19197,12936.0,43698.0,34,green
19191,20884.0,54429.0,4,orange
19193,102530.0,46720.0,39,orange
19195,7563.0,48459.0,11,orange
19105,20560.0,55060.0,22,orange
19187,37295.0,42408.0,1,green
19189,10614.0,47668.0,11,orange
17077,59534.0,33871.0,8,green
17081,38578.0,43247.0,34,green
17083,22625.0,53271.0,4,orange
17085,22397.0,53221.0,4,orange
17087,12829.0,42287.0,1,green
17089,524886.0,70696.0,37,red
17091,112221.0,52110.0,41,orange
17093,120036.0,84385.0,12,red
17075,29053.0,47834.0,11,orange
17099,112579.0,50633.0,39,orange
17101,16665.0,40841.0,1,green
17073,49883.0,53480.0,4,orange
17105,37689.0,54254.0,4,orange
17107,29956.0,50539.0,40,orange
17109,32009.0,40314.0,1,green
17111,307357.0,77222.0,5,red
17113,173114.0,62211.0,23,orange
17115,109193.0,47176.0,39,orange
17117,46844.0,51206.0,40,orange
17119,267356.0,53431.0,15,orange
17121,38665.0,42238.0,1,green
17123,12173.0,53423.0,4,orange
17125,14126.0,41567.0,1,green
17127,15016.0,40977.0,1,green
46069,1413.0,51776.0,4,orange
46067,7226.0,45075.0,34,green
46065,17466.0,59177.0,46,orange
46063,1328.0,52396.0,4,orange
46061,3386.0,60741.0,46,orange
46059,3375.0,47163.0,11,orange
46057,5982.0,58602.0,46,orange
46055,2083.0,41518.0,1,green
46053,4226.0,37540.0,45,green
46051,7227.0,51272.0,40,orange
46049,2359.0,43679.0,34,green
46045,4018.0,56000.0,22,orange
46043,2973.0,52500.0,4,orange
46041,5579.0,37206.0,24,green
46039,4341.0,53152.0,4,orange
46037,5618.0,39216.0,45,green
46035,19787.0,49991.0,40,orange
46031,4149.0,31676.0,8,green
46029,27750.0,48912.0,40,orange
46027,14011.0,36608.0,24,green
46025,3625.0,49600.0,40,orange
46023,9239.0,43109.0,34,green
46021,1548.0,45170.0,34,green
46017,2038.0,31163.0,8,green
46015,5330.0,49531.0,40,orange
46013,38060.0,53100.0,4,orange
46011,33046.0,50082.0,40,orange
46009,7013.0,45254.0,34,green
46007,3438.0,42171.0,1,green
46005,18168.0,46267.0,11,orange
46003,2729.0,48750.0,11,orange
46095,2086.0,30938.0,8,green
46019,10292.0,41920.0,1,green
46075,781.0,35972.0,24,green
46125,8302.0,53378.0,4,orange
46127,14842.0,64471.0,10,orange
8009,3701.0,38000.0,45,green
8011,5895.0,36791.0,24,green
8017,2002.0,52554.0,4,orange
8025,5551.0,31151.0,8,green
8063,7980.0,40603.0,1,green
8075,21928.0,42319.0,1,green
8087,28359.0,48450.0,11,orange
8089,18572.0,32311.0,8,green
8095,4371.0,43639.0,34,green
8099,12235.0,40179.0,1,green
8111,606.0,36324.0,24,green
8115,2365.0,44191.0,34,green
8121,4795.0,45541.0,34,orange
8125,10185.0,43105.0,34,green
20067,7816.0,55432.0,22,orange
20201,5686.0,45159.0,34,green
20203,2204.0,57171.0,22,orange
20205,9061.0,40306.0,1,green
20207,3211.0,35787.0,24,green
20197,6997.0,54688.0,22,orange
20199,1595.0,47279.0,11,orange
30001,9291.0,41512.0,1,green
30005,6598.0,36744.0,24,green
30007,5692.0,50115.0,40,orange
30011,1227.0,45000.0,34,green
30013,82090.0,45205.0,32,orange
30015,5855.0,38521.0,45,green
30017,11945.0,48750.0,11,orange
30019,1758.0,49239.0,40,orange
30021,9365.0,52738.0,4,orange
30023,9211.0,39399.0,45,green
30025,3057.0,53266.0,4,orange
30027,11468.0,40881.0,1,green
30033,1047.0,39732.0,45,green
30041,16523.0,44633.0,34,green
50009,6207.0,36599.0,24,green
36013,132646.0,42993.0,32,green
36103,1501373.0,88663.0,27,red
25005,552763.0,56842.0,44,orange
36081,2301139.0,57720.0,9,purple
36081,2301139.0,57720.0,9,purple
36047,2595259.0,48201.0,29,purple
36045,118947.0,49505.0,39,orange
33009,89341.0,55762.0,22,orange
54041,16434.0,37849.0,45,green
54033,68998.0,43987.0,34,green
54017,8201.0,39974.0,45,green
13317,9991.0,32727.0,8,green
13315,8972.0,32043.0,8,green
13313,103456.0,40596.0,1,green
13311,27791.0,40888.0,1,green
13309,7956.0,27620.0,48,green
13307,2720.0,37063.0,24,green
13305,30046.0,38955.0,45,green
13303,20785.0,37932.0,45,green
13301,5561.0,29176.0,48,green
13299,35723.0,34909.0,24,green
13295,68285.0,41632.0,1,green
13291,21725.0,40799.0,1,green
13289,8509.0,30468.0,8,green
13287,8338.0,31806.0,8,green
13285,68867.0,41489.0,1,green
13283,6762.0,38596.0,45,green
13281,10800.0,37000.0,24,green
13279,27210.0,33679.0,8,green
13277,40787.0,37653.0,45,green
13275,44824.0,36641.0,24,green
13273,9213.0,28688.0,48,green
13271,16416.0,26449.0,48,green
13267,25302.0,33980.0,8,green
13265,1721.0,26306.0,48,green
13263,6490.0,34078.0,8,green
13261,31429.0,32758.0,8,green
13259,5868.0,21118.0,17,green
13257,25620.0,40315.0,1,green
13255,63873.0,40246.0,1,green
13251,14206.0,34466.0,24,green
13249,5074.0,39375.0,45,green
13247,86901.0,50455.0,39,orange
13245,201291.0,37424.0,43,green
13243,7315.0,28377.0,48,green
13241,16266.0,35211.0,24,green
13237,21247.0,44299.0,34,green
13235,11590.0,38750.0,45,green
13233,41215.0,37853.0,45,green
13231,17812.0,51338.0,40,orange
13229,18934.0,40247.0,1,green
13227,29740.0,54123.0,4,orange
13225,27086.0,41588.0,1,green
13223,147400.0,60109.0,23,orange
13221,14688.0,44226.0,34,green
13219,34400.0,72182.0,35,red
13217,102645.0,49179.0,39,orange
13215,200285.0,42306.0,43,green
13091,21180.0,34271.0,24,green
13093,14293.0,28696.0,48,green
13095,93310.0,32084.0,8,green
13097,136520.0,53881.0,41,orange
13099,10579.0,31680.0,8,green
13101,4048.0,32959.0,8,green
13105,19537.0,35388.0,24,green
13107,22731.0,32229.0,8,green
13111,23742.0,37049.0,24,green
13113,108655.0,79066.0,25,red
13115,96169.0,41549.0,1,green
13117,196236.0,88816.0,12,red
13119,22110.0,33816.0,8,green
13123,28673.0,40228.0,1,green
13125,3087.0,40759.0,1,green
13129,55889.0,41612.0,1,green
13131,25243.0,34187.0,24,green
13133,16331.0,42408.0,1,green
13135,859234.0,60289.0,6,red
13137,43527.0,40907.0,1,green
13139,187916.0,51202.0,41,orange
13141,8881.0,24925.0,17,green
13143,28565.0,41910.0,1,green
13145,32776.0,63824.0,10,orange
13147,25498.0,37653.0,45,green
13149,11617.0,41525.0,1,green
13151,211512.0,60424.0,23,orange
13153,147570.0,53270.0,41,orange
13155,9408.0,34156.0,24,green
13157,61420.0,53379.0,4,orange
13063,267234.0,40938.0,43,green
13163,16374.0,26557.0,48,green
18163,181305.0,43046.0,32,green
18161,7299.0,44277.0,34,green
18159,15573.0,51613.0,4,orange
18157,180952.0,45932.0,32,orange
18155,10500.0,44061.0,34,green
18153,21111.0,45023.0,34,green
18151,34267.0,48472.0,11,orange
18149,23117.0,42208.0,1,green
18147,20856.0,55247.0,22,orange
18145,44441.0,53584.0,4,orange
18143,23783.0,44442.0,34,green
18141,267246.0,45471.0,20,orange
18139,16991.0,45121.0,34,green
18175,27930.0,41289.0,1,green
18135,25596.0,40810.0,1,green
18133,37650.0,51355.0,40,orange
18131,13047.0,43836.0,34,green
18129,25567.0,58101.0,46,orange
18127,166570.0,63926.0,28,orange
18125,12687.0,44399.0,34,green
18123,19414.0,47470.0,11,orange
18121,17107.0,40781.0,1,green
18119,21192.0,43948.0,34,green
18117,19725.0,39812.0,45,green
18115,6033.0,48780.0,40,orange
18113,47546.0,49331.0,40,orange
18111,14057.0,46895.0,11,orange
18109,69403.0,55432.0,22,orange
18107,38172.0,48213.0,11,orange
18105,142404.0,42404.0,32,green
18103,36211.0,45184.0,34,green
